captures,name,message
patriots_001.jpg,Emily & Sophie,Kickoff chills every time
patriots_002.jpg,Hannah R.,Halftime hot dogs are elite
patriots_003.jpg,Sam Q.,"Cold hands, full hearts"
patriots_004.jpg,Chris,Grill master reporting for duty
patriots_005.jpg,Ella,My first NFL game!
patriots_006.jpg,Lucy,"Banner season, calling it now"
patriots_007.jpg,Hannah,First game at Gillette!
patriots_008.jpg,Marcus I.,Face paint game strong
patriots_009.jpg,Marcus & Casey,Pats by a million
patriots_010.jpg,Kevin,Raised him right: Pats fan
patriots_011.jpg,Brooke T.,Mom's first tailgate
patriots_012.jpg,Charlotte S.,"Nosebleeds, best view of the flyover"
patriots_013.jpg,Jamie,Gameday with my girl
patriots_014.jpg,Beth,We were ON the jumbotron!!
patriots_015.jpg,Zoe W.,Here for the W
patriots_016.jpg,Ella,Cousins crew takes Gillette
patriots_017.jpg,Ben O.,Undefeated tailgate record
patriots_018.jpg,Megan,End zone seats!!
patriots_019.jpg,Ryan & Jack,Chowder & touchdowns
patriots_020.jpg,Ryan,Beat the Jets!
patriots_021.jpg,Morgan,Tailgating since 8am
patriots_022.jpg,Chloe,First game with my little guy
patriots_023.jpg,Tyler,Birthday at Gillette!
patriots_024.jpg,Jamie,4th quarter comeback incoming
patriots_025.jpg,Amy,In Foxborough we trust
patriots_026.jpg,James & Chris,Road trip from Maine
patriots_027.jpg,Paige T.,Pat Patriot is my spirit animal
patriots_028.jpg,Josh,Go Pats!!
patriots_029.jpg,Olivia O.,Flew in from California. Worth it
patriots_030.jpg,Sam,Flyover gave me chills
patriots_031.jpg,Ella & Nathan,Anniversary at the 50 yard line
patriots_032.jpg,Katie,Snow game! Best game
patriots_033.jpg,Devon,Father son tradition
patriots_034.jpg,Megan,Bills week babyyy
patriots_035.jpg,Grace & Laura,"Win or lose, we tailgate"
patriots_036.jpg,Hannah T.,Drove down from Vermont for this
patriots_037.jpg,Luke R.,Dunkin run before kickoff
patriots_038.jpg,Rachel,20th straight home opener
patriots_039.jpg,Holly,"50 yard line, once in a lifetime"
patriots_040.jpg,Grace,Season ticket year one!
